Version,Protocol,TTL,SrcAddress,DestAddress,SrcPort,DestPort,SeqNum,AckNum,Flag,DataSize,Service,Label
4,6,120,142.250.76.68,192.168.1.40,443,34694,2844528972,2318791649,SYN-ACK,0,HTTPS,0
4,6,120,142.250.76.68,192.168.1.40,443,34694,2844528973,2318792166,ACK,0,HTTPS,0
4,6,120,142.250.76.68,192.168.1.40,443,34694,2844528973,2318792166,ACK,1418,HTTPS,0
4,6,120,142.250.76.68,192.168.1.40,443,34694,2844530391,2318792166,PSH-ACK,1215,HTTPS,0
4,6,120,142.250.76.68,192.168.1.40,443,34694,2844531606,2318792167,FIN-ACK,0,HTTPS,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287784863,1661846965,SYN-ACK,0,HTTPS,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287784864,1661847482,ACK,0,HTTPS,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287784864,1661847482,ACK,1418,HTTPS,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287786282,1661847482,PSH-ACK,1213,HTTPS,0
4,6,120,172.217.163.67,192.168.1.40,80,51050,841198792,2628500659,SYN-ACK,0,HTTP,0
4,6,120,172.217.163.67,192.168.1.40,80,51050,841198793,2628501045,ACK,0,HTTP,0
4,6,120,172.217.163.67,192.168.1.40,80,51050,841198793,2628501045,PSH-ACK,702,HTTP,0
4,6,120,172.217.163.67,192.168.1.40,80,51050,841199495,2628501431,ACK,0,HTTP,0
4,6,121,172.217.163.67,192.168.1.40,80,51052,3963209615,2017654171,SYN-ACK,0,HTTP,0
4,6,120,172.217.163.67,192.168.1.40,80,51050,841199495,2628501431,PSH-ACK,702,HTTP,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287787495,1661847913,PSH-ACK,580,HTTPS,0
4,6,121,142.250.76.68,192.168.1.40,443,34698,3287788075,1661847913,PSH-ACK,31,HTTPS,0
